time,temperature,noise,gas,traffic_density
1627309564.8183057,42,474,1,24.902219159729295
1627309569.8183057,36,509,1,16.96856869733372
1627309574.8183057,33,671,0,22.283304734978742
1627309579.8183057,40,393,0,16.73793968739785
1627309584.8183057,42,565,0,22.648275156316917
1627309589.8183057,43,401,0,22.70221003155944
1627309594.8183057,49,280,1,32.439407680693336
1627309599.8183057,48,236,1,24.546687450851568
1627309604.8183057,30,542,1,15.54192933203872
1627309609.8183057,30,502,1,13.856367973558875
1627309614.8183057,24,207,1,2.4308275181018084
1627309619.8183057,31,377,0,4.493955149048508
1627309624.8183057,50,338,0,23.109121515121824
1627309629.8183057,44,679,0,30.58307765940024
1627309634.8183057,33,255,0,10.007117057442336
1627309639.8183057,41,343,0,14.584039285515036
1627309644.8183057,48,367,0,24.61491441008115
1627309649.8183057,35,352,0,7.490165706614343
1627309654.8183057,42,775,1,39.05600300912074
1627309659.8183057,34,496,1,16.610681937986154
1627309664.8183057,33,371,1,12.851574973498609
1627309669.8183057,22,517,1,11.601060486509807
1627309674.8183057,31,428,0,4.481038342543516
1627309679.8183057,28,331,0,0.0
1627309684.8183057,21,679,0,3.7063841219396148
1627309689.8183057,40,654,1,28.760671214792715
1627309694.8183057,42,620,1,27.190925266394583
1627309699.8183057,35,246,0,9.612428715186782
1627309704.8183057,25,618,0,10.601188538300166
1627309709.8183057,29,487,1,11.207189867022148
1627309714.8183057,38,280,1,17.204889186229245
1627309719.8183057,20,718,1,8.796068803350696
1627309724.8183057,23,481,1,8.750580643246158
1627309729.8183057,45,605,0,32.28436115611719
1627309734.8183057,33,436,0,9.05286868507261
1627309739.8183057,37,514,1,18.932969595967776
1627309744.8183057,20,368,0,0.0
1627309749.8183057,28,483,1,14.017701398266379
1627309754.8183057,49,623,1,37.7333488122662
1627309759.8183057,45,323,0,16.501628996036498
1627309764.8183057,39,704,1,27.937732763187473
1627309769.8183057,40,552,1,27.508767964847827
1627309774.8183057,47,661,0,26.519564090019447
1627309779.8183057,41,513,0,18.767016986105617
1627309784.8183057,45,601,1,35.60811756400157
1627309789.8183057,29,313,0,4.3622625667610295
1627309794.8183057,45,537,0,28.289995621482525
1627309799.8183057,32,256,0,9.380423057634923
1627309804.8183057,44,273,0,16.3031587993325
1627309809.8183057,28,334,0,4.131844144952366
1627309814.8183057,28,693,1,19.506583436813788
1627309819.8183057,40,414,0,14.885718957830463
1627309824.8183057,22,630,0,4.886497842270879
1627309829.8183057,50,757,1,42.201553597041254
1627309834.8183057,42,360,0,18.301024366903945
1627309839.8183057,29,287,0,3.7192262579352926
1627309844.8183057,27,464,1,7.485399186840111
1627309849.8183057,46,578,1,33.918639692300836
1627309854.8183057,29,624,1,17.243828369355814
1627309859.8183057,41,281,0,10.26148197855
1627309864.8183057,23,257,0,0.0
1627309869.8183057,21,362,1,0.0
1627309874.8183057,49,245,1,30.590217673556786
1627309879.8183057,21,489,0,0.0
1627309884.8183057,44,630,1,32.71355326998195
1627309889.8183057,31,541,0,11.76912138804729
1627309894.8183057,21,227,1,0.0
1627309899.8183057,29,737,0,13.207711627556897
1627309904.8183057,32,373,0,3.5714242811111148
1627309909.8183057,21,324,0,0.0
1627309914.8183057,24,358,0,3.1410319822838293
1627309919.8183057,41,233,0,17.610124657431896
1627309924.8183057,25,763,0,11.804548771578649
1627309929.8183057,39,306,1,21.688816412243106
1627309934.8183057,50,327,1,27.93014852366575
1627309939.8183057,41,638,0,20.1855417189254
1627309944.8183057,30,251,0,0.0
1627309949.8183057,30,557,1,13.889774795824128
1627309954.8183057,20,431,1,3.057644539473044
1627309959.8183057,44,214,0,12.006493150223179
1627309964.8183057,33,771,0,23.198085866839595
1627309969.8183057,23,456,1,10.61774056746316
1627309974.8183057,43,566,1,34.54406993981721
1627309979.8183057,40,604,1,31.371035772810224
1627309984.8183057,48,455,0,27.28527834207471
1627309989.8183057,49,674,1,42.91296555924169
1627309994.8183057,49,367,1,32.61996954196073
1627309999.8183057,43,458,1,25.189590007078785
1627310004.8183057,48,678,1,34.50507401301776
1627310009.8183057,43,402,0,16.147825568883913
1627310014.8183057,37,703,0,22.842684992545408
1627310019.8183057,38,738,0,25.235386966620446
1627310024.8183057,21,793,0,9.874434385277517
1627310029.8183057,22,603,0,1.1032916791466634
1627310034.8183057,39,500,0,23.01828943208604
1627310039.8183057,49,612,0,35.25944422573107
1627310044.8183057,49,753,0,33.647686514730914
1627310049.8183057,49,285,1,27.885152186766447
1627310054.8183057,25,551,0,9.202717325821904
1627310059.8183057,39,434,1,22.635660743007133
1627310064.8183057,46,413,1,23.921648754652683
1627310069.8183057,20,660,1,10.336560847021083
1627310074.8183057,35,461,1,18.769073942941425
1627310079.8183057,44,658,1,37.19083578376971
1627310084.8183057,30,219,1,3.0589368004725537
1627310089.8183057,20,236,1,0.0
1627310094.8183057,42,592,0,25.394526078831653
1627310099.8183057,33,746,0,22.893305720756075
1627310104.8183057,38,795,0,27.660513773953575
1627310109.8183057,24,531,1,11.093335194221249
1627310114.8183057,21,250,1,3.0424060714340877
1627310119.8183057,29,577,1,17.34161714302838
1627310124.8183057,37,262,0,6.702438317449538
1627310129.8183057,26,246,1,1.8458757177837493
1627310134.8183057,44,278,0,21.765713433029802
1627310139.8183057,28,488,0,10.060461902957465
1627310144.8183057,42,658,0,27.29798922563108
1627310149.8183057,45,381,1,29.89410458787004
1627310154.8183057,41,413,0,15.070016182338863
1627310159.8183057,48,714,0,34.89358984017396
1627310164.8183057,39,218,0,13.341378687889524
1627310169.8183057,41,262,1,17.90035585693238
1627310174.8183057,35,389,1,18.51208020336619
1627310179.8183057,41,364,0,18.12694759616404
1627310184.8183057,48,607,0,34.18584353350894
1627310189.8183057,44,327,0,18.95906345699671
1627310194.8183057,32,775,1,27.61078213124621
1627310199.8183057,22,467,0,1.0208144370694203
1627310204.8183057,45,492,1,33.941257600866294
1627310209.8183057,40,732,1,35.528280329869744
1627310214.8183057,37,410,0,13.228349015745824
1627310219.8183057,29,282,1,4.5001239380910025
1627310224.8183057,25,465,0,2.0996717879672273
1627310229.8183057,30,480,0,8.944110466874404
1627310234.8183057,26,663,0,10.850186440191788
1627310239.8183057,40,666,1,26.862681639439295
1627310244.8183057,32,419,0,6.9162721601632615
1627310249.8183057,33,331,1,8.433238959814894
1627310254.8183057,33,762,0,16.040039116502935
1627310259.8183057,48,439,0,27.281963908585432
1627310264.8183057,23,391,0,4.156709269277487
1627310269.8183057,44,281,0,15.199277322413547
1627310274.8183057,47,687,1,37.031392945277695
1627310279.8183057,37,343,1,13.206111397823435
1627310284.8183057,39,496,0,17.613056656076367
1627310289.8183057,49,383,0,26.202766838805747
1627310294.8183057,27,210,1,0.0
1627310299.8183057,47,308,0,22.081957718998915
1627310304.8183057,30,360,1,7.081592512572625
1627310309.8183057,44,239,1,22.493011413783776
1627310314.8183057,31,625,1,21.975338929520838
1627310319.8183057,24,551,1,6.5795141028881705
1627310324.8183057,31,632,0,11.139323350559145
1627310329.8183057,36,377,0,13.92271864730777
1627310334.8183057,30,446,0,7.866052125474965
1627310339.8183057,50,709,1,38.31782602169842
1627310344.8183057,38,732,1,31.480339916432406
1627310349.8183057,21,573,0,6.9345972587591325
1627310354.8183057,33,305,1,10.294048346704924
1627310359.8183057,39,321,0,16.546900304611462
1627310364.8183057,45,424,0,18.992507020772
1627310369.8183057,49,479,1,33.572686627317275
1627310374.8183057,45,238,1,21.392214286267233
1627310379.8183057,46,687,0,31.446116350420898
1627310384.8183057,21,692,0,2.846302462618975
1627310389.8183057,46,576,1,34.43696503879513
1627310394.8183057,20,694,1,5.749654454336866
1627310399.8183057,47,566,1,28.848494332020895
1627310404.8183057,43,671,0,32.405669582179414
1627310409.8183057,32,741,1,22.773598599495337
1627310414.8183057,35,481,1,17.293485559577896
1627310419.8183057,36,600,0,23.04256313986798
1627310424.8183057,32,505,0,12.926318106745526
1627310429.8183057,22,737,1,10.634799948209547
1627310434.8183057,31,641,1,24.634419428192686
1627310439.8183057,20,238,0,0.0
1627310444.8183057,20,548,1,1.7279829164432814
1627310449.8183057,25,222,1,1.8150018693401355
1627310454.8183057,28,443,0,5.265042087826341
1627310459.8183057,41,706,1,36.27182164389766
1627310464.8183057,31,264,1,11.550640530111709
1627310469.8183057,38,297,1,14.598609717640223
1627310474.8183057,40,559,0,26.005479848129042
1627310479.8183057,25,513,0,4.942087507311726
1627310484.8183057,32,244,0,7.303208202669508
1627310489.8183057,48,580,1,30.901400947927314
1627310494.8183057,37,582,1,26.777632756878322
1627310499.8183057,46,429,0,26.32663512735554
1627310504.8183057,24,437,1,5.869445256738101
1627310509.8183057,41,556,1,26.072729326332645
1627310514.8183057,41,271,1,16.221607301156816
1627310519.8183057,44,362,0,18.76140071791389
1627310524.8183057,48,375,1,29.518530223593864
1627310529.8183057,49,268,0,21.79792471722568
1627310534.8183057,38,391,0,14.230724889314363
1627310539.8183057,36,611,1,28.679997656171878
1627310544.8183057,39,784,1,30.49287848452736
1627310549.8183057,28,759,0,13.576320136898225
1627310554.8183057,48,698,1,35.00493545778918
1627310559.8183057,34,510,1,15.773319635682642
1627310564.8183057,21,448,0,0.0
1627310569.8183057,24,560,0,1.72027274607643
1627310574.8183057,48,687,1,42.083564416041256
1627310579.8183057,36,224,0,3.898766027999521
1627310584.8183057,45,583,0,23.13381988145934
1627310589.8183057,33,341,0,4.152551250489509
1627310594.8183057,27,403,0,0.0
1627310599.8183057,39,608,1,31.671219223489093
1627310604.8183057,40,475,0,17.842999478738072
1627310609.8183057,24,258,1,4.909429599168085
1627310614.8183057,32,311,0,8.721651681091707
1627310619.8183057,34,426,1,17.927493981311592
1627310624.8183057,20,567,0,0.0
1627310629.8183057,33,271,0,4.128585379753502
1627310634.8183057,49,611,1,35.62646312521996
1627310639.8183057,22,507,0,0.0
1627310644.8183057,24,340,0,0.07944217132399523
1627310649.8183057,24,552,1,14.912540898812816
1627310654.8183057,30,446,0,11.487261240762066
1627310659.8183057,47,252,0,18.535417209748566
1627310664.8183057,26,610,0,13.898456175454823
1627310669.8183057,36,725,1,24.577854760658905
1627310674.8183057,33,317,0,12.165911434674168
1627310679.8183057,27,471,1,15.174666204768398
1627310684.8183057,32,411,1,16.344810297860988
1627310689.8183057,34,568,1,21.72959951596039
1627310694.8183057,32,561,1,22.1622874972276
1627310699.8183057,27,452,0,6.2360137442328964
1627310704.8183057,20,417,0,0.0
1627310709.8183057,31,524,0,11.759744861688699
1627310714.8183057,39,583,1,24.061913722825494
1627310719.8183057,26,781,1,23.036661676081117
1627310724.8183057,42,410,1,20.16332687525367
1627310729.8183057,46,665,1,31.48549092113002
1627310734.8183057,32,369,0,7.847412016092826
1627310739.8183057,23,765,1,13.457210877123964
1627310744.8183057,39,662,1,31.80156334396733
1627310749.8183057,49,614,1,41.988797661777305
1627310754.8183057,41,608,0,23.236403012208278
1627310759.8183057,48,612,0,34.06865524111751
1627310764.8183057,32,428,0,7.159750458018592
1627310769.8183057,26,614,1,10.284537847558314
1627310774.8183057,24,665,0,7.8216171019518
1627310779.8183057,42,737,1,29.503198057445307
1627310784.8183057,21,517,1,7.46009431934641
1627310789.8183057,25,265,1,5.0347848689032215
1627310794.8183057,23,448,0,0.0
1627310799.8183057,35,521,1,18.892022758205606
1627310804.8183057,44,428,1,29.52769373335002
1627310809.8183057,31,410,0,7.5620592845112915
1627310814.8183057,34,339,0,9.624357675648085
1627310819.8183057,34,659,1,23.20088965224237
1627310824.8183057,31,642,0,19.138194103761585
1627310829.8183057,37,472,0,11.702247148297143
1627310834.8183057,50,460,1,32.97232390954472
1627310839.8183057,45,385,0,26.668842277076614
1627310844.8183057,32,364,0,7.581975437403102
1627310849.8183057,30,799,1,23.829552412379094
1627310854.8183057,42,597,0,27.946720302012903
1627310859.8183057,41,564,0,25.835685477094504
1627310864.8183057,44,606,1,32.68970988335688
1627310869.8183057,22,564,0,6.881276731325759
1627310874.8183057,33,458,1,13.167214628711852
1627310879.8183057,50,453,1,36.373257234456645
1627310884.8183057,42,679,0,30.437907815721477
1627310889.8183057,22,486,0,5.410841976222219
1627310894.8183057,22,795,0,11.34495587478939
1627310899.8183057,21,666,0,9.47876438169925
1627310904.8183057,43,242,1,23.39072459304427
1627310909.8183057,21,342,1,4.6675808007840764
1627310914.8183057,24,548,0,10.153069543098685
1627310919.8183057,36,757,1,26.123388549869915
1627310924.8183057,45,668,1,32.19731991602213
1627310929.8183057,23,388,0,0.0
1627310934.8183057,30,774,0,21.242293677227686
1627310939.8183057,23,365,0,0.0
1627310944.8183057,36,453,1,22.917819700738992
1627310949.8183057,39,291,1,17.003618171254352
1627310954.8183057,21,355,1,6.38328933750514
1627310959.8183057,28,514,0,5.539615221129718
1627310964.8183057,36,692,0,24.07927510400787
1627310969.8183057,25,700,1,14.779367074382902
1627310974.8183057,47,771,0,39.08869620764672
1627310979.8183057,26,445,1,4.913744438402086
1627310984.8183057,27,533,0,11.593659976311503
1627310989.8183057,21,705,1,16.148304685770604
1627310994.8183057,34,441,1,22.08815001050563
1627310999.8183057,34,392,1,19.890186752480105
1627311004.8183057,36,554,0,16.95393825227425
1627311009.8183057,48,605,0,29.939725189275002
1627311014.8183057,38,672,1,24.693623399774598
1627311019.8183057,21,800,0,12.978374627379344
1627311024.8183057,37,365,0,15.202905087314408
1627311029.8183057,24,395,1,10.81377132003205
1627311034.8183057,33,275,0,5.7773594919650595
1627311039.8183057,32,626,1,19.582957491386885
1627311044.8183057,31,519,0,6.688707159697279
1627311049.8183057,41,741,1,32.799036849661306
1627311054.8183057,24,463,0,6.719851853532175
1627311059.8183057,28,696,0,15.260320915772148
1627311064.8183057,24,710,0,11.305762547823111
1627311069.8183057,21,737,1,15.829944286158913
1627311074.8183057,38,307,1,16.057730036706428
1627311079.8183057,22,416,0,4.249824197120095
1627311084.8183057,33,202,1,13.47645873974773
1627311089.8183057,22,525,0,5.040383064542125
1627311094.8183057,43,287,0,13.059616837395657
1627311099.8183057,33,799,1,24.310864345363726
1627311104.8183057,23,698,1,15.280127823117285
1627311109.8183057,26,488,0,8.522188757558755
1627311114.8183057,37,451,1,16.823955106919517
1627311119.8183057,38,414,1,21.610150584345508
1627311124.8183057,43,202,1,19.57015591586675
1627311129.8183057,36,376,0,9.724803488067527
1627311134.8183057,29,624,1,17.27240121543943
1627311139.8183057,50,756,1,40.29210281135402
1627311144.8183057,32,798,1,29.66164191334925
1627311149.8183057,29,486,0,11.512744649417218
1627311154.8183057,26,706,0,12.376125038228219
1627311159.8183057,43,433,0,20.94439722150884
1627311164.8183057,37,499,0,17.461841809548456
1627311169.8183057,33,616,0,18.38115661639351
1627311174.8183057,22,725,1,12.110778079942888
1627311179.8183057,44,783,1,39.49711284862999
1627311184.8183057,50,647,0,29.02176157947766
1627311189.8183057,21,343,0,0.0
1627311194.8183057,31,714,0,19.796593864434172
1627311199.8183057,41,562,1,25.260764385477472
1627311204.8183057,48,351,1,33.41767323613048
1627311209.8183057,45,696,1,38.61235031453916
1627311214.8183057,31,467,0,13.261975974549578
1627311219.8183057,38,536,1,24.997971073142306
1627311224.8183057,36,783,0,26.63550998695168
1627311229.8183057,33,339,0,11.666277671829754
1627311234.8183057,20,643,0,2.887466128567758
1627311239.8183057,43,397,1,24.733810044299798
1627311244.8183057,29,388,1,10.823555221335061
1627311249.8183057,25,706,0,13.102218786710994
1627311254.8183057,22,500,1,9.602082832106479
1627311259.8183057,47,648,1,33.23618317972208
1627311264.8183057,37,636,1,22.561638155930023
1627311269.8183057,31,532,1,17.0026775364411
1627311274.8183057,50,677,0,31.62514759130724
1627311279.8183057,38,538,0,19.42890609939135
1627311284.8183057,24,644,1,9.322818436430392
1627311289.8183057,36,580,1,19.983387869965895
1627311294.8183057,50,768,1,39.47869675864197
1627311299.8183057,33,652,0,13.746400054895947
1627311304.8183057,45,500,1,25.445711932394342
1627311309.8183057,50,277,1,25.821911290793974
1627311314.8183057,38,504,1,25.4323330401801
1627311319.8183057,21,469,1,1.6448920262457396
1627311324.8183057,45,603,0,24.55487590155972
1627311329.8183057,25,294,1,4.017110346879582
1627311334.8183057,49,388,1,27.910485054385173
1627311339.8183057,32,410,0,7.0598773918475235
1627311344.8183057,35,720,1,27.64815691440714
1627311349.8183057,39,743,0,29.591898249404288
1627311354.8183057,22,487,0,0.0
1627311359.8183057,34,552,0,15.54348312305775
1627311364.8183057,48,307,0,21.928100311080442
1627311369.8183057,27,430,1,15.039371847115968
1627311374.8183057,41,728,0,31.08475931727197
1627311379.8183057,24,700,0,13.293863262310577
1627311384.8183057,32,758,1,24.274603975811516
1627311389.8183057,29,689,0,9.215816261795577
1627311394.8183057,28,667,1,20.564376213614345
1627311399.8183057,32,443,0,9.65284050245327
1627311404.8183057,35,533,1,19.52414673398298
1627311409.8183057,47,322,0,22.299301512810615
1627311414.8183057,31,321,0,3.875049615452045
1627311419.8183057,45,533,0,28.387865348958698
1627311424.8183057,43,203,0,16.142538127719035
1627311429.8183057,26,403,1,4.734517265333722
1627311434.8183057,24,562,0,3.886240362680786
1627311439.8183057,44,520,1,33.71913488007016
1627311444.8183057,46,468,1,27.37375667410684
1627311449.8183057,31,564,0,11.074407797796155
1627311454.8183057,25,595,1,8.131600382842672
1627311459.8183057,37,649,0,16.583767923015614
1627311464.8183057,21,623,1,8.26842275018213
1627311469.8183057,25,581,1,12.101945196200326
1627311474.8183057,22,564,1,7.006443052722234
1627311479.8183057,32,656,1,16.940318157134808
1627311484.8183057,45,341,1,29.712802458591007
1627311489.8183057,22,589,1,6.98951765323604
1627311494.8183057,26,713,1,18.618848621414752
1627311499.8183057,45,301,0,17.03913922161981
1627311504.8183057,48,380,1,26.893807358037602
1627311509.8183057,33,485,0,15.660566820429995
1627311514.8183057,30,601,1,15.294215660313172
1627311519.8183057,39,297,0,9.110209052460952
1627311524.8183057,40,449,1,24.846799046089693
1627311529.8183057,24,412,1,8.500988442180358
1627311534.8183057,31,567,1,13.684714610733808
1627311539.8183057,33,797,1,23.686997278151463
1627311544.8183057,34,558,0,16.53502131643141
1627311549.8183057,21,554,0,1.6859057705329352
1627311554.8183057,20,486,1,2.7006541829910677
1627311559.8183057,47,352,1,25.200436668037497
1627311564.8183057,40,385,0,14.801466880084323
1627311569.8183057,23,625,0,6.967105793842591
1627311574.8183057,22,554,1,12.918042212532681
1627311579.8183057,35,669,0,14.962720719438593
1627311584.8183057,26,250,0,0.0
1627311589.8183057,34,471,0,15.491311099890837
1627311594.8183057,27,678,1,19.327594606335428
1627311599.8183057,40,501,0,21.300002392573344
1627311604.8183057,25,504,1,5.940443931475379
1627311609.8183057,34,666,0,20.15598553391394
1627311614.8183057,26,343,1,7.9037288703056845
1627311619.8183057,49,760,1,41.635314002039735
1627311624.8183057,42,685,1,35.529974872437386
1627311629.8183057,28,449,1,8.856454910097419
1627311634.8183057,46,294,0,21.67251512676942
1627311639.8183057,50,529,0,28.50936079225844
1627311644.8183057,26,656,0,12.815926312185963
1627311649.8183057,48,254,1,24.19782102614026
1627311654.8183057,28,365,1,12.157490223746288
1627311659.8183057,30,763,0,16.443167023013686
1627311664.8183057,23,507,1,12.287685027540928
1627311669.8183057,22,296,0,0.0
1627311674.8183057,26,507,0,8.999813662934898
1627311679.8183057,37,609,1,23.923490414590177
1627311684.8183057,50,771,1,45.414435702794535
1627311689.8183057,20,343,1,0.0
1627311694.8183057,25,725,1,18.289606994525002
1627311699.8183057,48,583,1,39.51606361559931
1627311704.8183057,22,351,0,0.0
1627311709.8183057,46,364,0,23.37456969075165
1627311714.8183057,36,433,0,16.001690384043677
1627311719.8183057,47,763,0,38.514285130146106
1627311724.8183057,42,562,1,27.20277782427069
1627311729.8183057,31,257,0,0.6365248627090534
1627311734.8183057,39,341,1,18.138792832578005
1627311739.8183057,29,633,0,13.281125522216009
1627311744.8183057,26,651,0,11.298161615998593
1627311749.8183057,33,415,1,11.6610530994255
1627311754.8183057,32,687,1,20.23449883583763
1627311759.8183057,22,530,1,7.845323325062573
1627311764.8183057,34,450,0,14.7754589589131
1627311769.8183057,47,276,1,29.338992392198456
1627311774.8183057,25,423,1,7.945575225027895
1627311779.8183057,35,221,1,12.46296419441352
1627311784.8183057,34,769,0,19.53103144190381
1627311789.8183057,20,603,0,1.8906899994772952
1627311794.8183057,33,432,1,16.86325150080755
1627311799.8183057,44,530,1,26.998303583205917
1627311804.8183057,22,665,0,10.57748487889439
1627311809.8183057,38,685,0,26.90731367848668
1627311814.8183057,32,768,0,15.838420571397666
1627311819.8183057,35,791,0,26.175264097032
1627311824.8183057,30,361,0,5.92603833781412
1627311829.8183057,21,636,0,4.85118195258649
1627311834.8183057,34,534,0,19.2984758272312
1627311839.8183057,23,769,1,15.366134679731545
1627311844.8183057,36,705,0,24.627019080604267
1627311849.8183057,34,703,1,29.05184646003397
1627311854.8183057,37,310,0,12.287817885281637
1627311859.8183057,31,226,0,1.0343371851155494
1627311864.8183057,41,437,1,27.19348170355646
1627311869.8183057,21,583,0,0.9300440785661412
1627311874.8183057,43,603,1,27.036176592739377
1627311879.8183057,35,770,1,27.106248358452323
1627311884.8183057,33,226,0,2.586790417307458
1627311889.8183057,41,716,1,36.796399015816704
1627311894.8183057,48,283,1,22.686259522438515
1627311899.8183057,26,298,0,5.064442704059394
1627311904.8183057,36,399,0,14.301823741014395
1627311909.8183057,28,792,1,20.147289801912315
1627311914.8183057,31,329,1,9.927275731220572
1627311919.8183057,24,548,1,10.008390626523996
1627311924.8183057,31,720,0,12.968403627875066
1627311929.8183057,22,668,0,2.5906529668160116
1627311934.8183057,49,361,0,22.323631246287537
1627311939.8183057,27,552,0,7.2504384333667655
1627311944.8183057,33,310,0,12.141414460719272
1627311949.8183057,31,660,0,14.908105766834836
1627311954.8183057,30,505,0,14.604411158774415
1627311959.8183057,44,581,1,35.45006525486608
1627311964.8183057,39,712,1,33.80598497838225
1627311969.8183057,39,663,0,22.154865767819356
1627311974.8183057,26,471,1,7.250037926434873
1627311979.8183057,25,533,1,6.5205597351038245
1627311984.8183057,38,714,1,30.557964606645264
1627311989.8183057,47,481,0,21.978500414478102
1627311994.8183057,35,322,1,10.81724369017505
1627311999.8183057,25,568,0,9.080378670904574
1627312004.8183057,50,622,0,35.63983795403824
1627312009.8183057,26,630,1,17.630714944846353
1627312014.8183057,20,763,0,3.8217683866650556
1627312019.8183057,24,416,1,10.601925428879962
1627312024.8183057,34,266,1,14.476409576682075
